Fecha	Comportamiento de la accion	Punto Medio High Low
2021-05-03	BAJA	56.97497550000003
2021-05-04	BAJA	47.9250485
2021-05-05	BAJA	45.16992200000004
2021-05-06	SUBE	33.59997550000003
2021-05-07	BAJA	20.90991250000002
2021-05-10	BAJA	46.5
2021-05-11	SUBE	55.31494150000003
2021-05-12	BAJA	37.4199215000001
2021-05-13	BAJA	35.42004399999996
2021-05-14	SUBE	22.930053499999985
2021-05-17	SUBE	29.07995600000004
2021-05-18	BAJA	40.81494150000003
2021-05-19	SUBE	25.375
2021-05-20	SUBE	11.75
2021-05-21	BAJA	29.839965500000062
2021-05-24	SUBE	23.724975500000028
2021-05-25	BAJA	33.03002900000001
2021-05-26	BAJA	18.60998500000005
2021-05-27	BAJA	15.160033999999996
2021-05-28	BAJA	14.14501949999999
2021-06-01	BAJA	20.95996050000008
2021-06-02	SUBE	13.5
2021-06-03	BAJA	15.204956000000038
2021-06-04	BAJA	11.094970500000045
2021-06-07	SUBE	17.900024499999972
2021-06-08	SUBE	30.760009500000024
2021-06-09	SUBE	13.440063499999951
2021-06-10	SUBE	34.925048999999944
2021-06-11	BAJA	16.56506349999995
2021-06-14	SUBE	24.75
2021-06-15	BAJA	16.93994150000003
2021-06-16	SUBE	32.91003449999994
2021-06-17	SUBE	48.09997550000003
2021-06-18	SUBE	16.64501949999999
2021-06-21	BAJA	24.0
2021-06-22	SUBE	33.844970500000045
2021-06-23	BAJA	18.900024499999972
2021-06-24	BAJA	47.00500450000004
2021-06-25	BAJA	35.32006799999999
2021-06-28	SUBE	17.244995000000017
2021-06-29	SUBE	16.5
2021-06-30	BAJA	18.300048999999944
2021-07-01	BAJA	23.79003899999998
2021-07-02	SUBE	37.40002449999997
2021-07-06	SUBE	78.23999000000003
2021-07-07	BAJA	27.64501949999999
2021-07-08	SUBE	69.43493650000005
2021-07-09	BAJA	27.300048999999944
2021-07-12	BAJA	30.25
2021-07-13	BAJA	50.88000499999998
2021-07-14	BAJA	28.41491700000006
2021-07-15	BAJA	37.239990000000034
2021-07-16	BAJA	37.800048999999944
2021-07-19	SUBE	25.525024499999972
2021-07-20	SUBE	37.0
2021-07-21	SUBE	21.405029000000013
2021-07-22	SUBE	28.875
2021-07-23	SUBE	22.035033999999996
2021-07-26	SUBE	32.41503899999998
2021-07-27	BAJA	56.175048999999944
2021-07-28	BAJA	28.70996100000002
2021-07-29	BAJA	28.969970500000045
2021-07-30	BAJA	30.57995649999998
2021-08-02	BAJA	20.95996100000002
2021-08-03	SUBE	45.614990000000034
2021-08-04	BAJA	21.659912000000077
2021-08-05	SUBE	24.04003899999998
2021-08-06	BAJA	22.97998050000001
2021-08-09	BAJA	13.179931500000066
2021-08-10	BAJA	21.5
2021-08-11	BAJA	29.95495600000004
2021-08-12	SUBE	22.42004399999996
2021-08-13	BAJA	11.535033999999996
2021-08-16	SUBE	44.43505849999997
2021-08-17	BAJA	27.405029000000013
2021-08-18	BAJA	27.050048999999944
2021-08-19	BAJA	25.27001949999999
2021-08-20	BAJA	16.025024499999972
2021-08-23	SUBE	35.44494600000007
2021-08-24	SUBE	20.45495600000004
2021-08-25	BAJA	17.425048999999944
2021-08-26	SUBE	18.0
2021-08-27	SUBE	19.285033999999996
2021-08-30	SUBE	44.89001450000001
2021-08-31	SUBE	38.49499500000002
2021-09-01	BAJA	25.880004999999983
2021-09-02	BAJA	28.47998050000001
2021-09-03	SUBE	23.114990499999976
2021-09-07	SUBE	25.575073499999917
2021-09-08	SUBE	24.97998050000001
2021-09-09	BAJA	34.80993650000005
2021-09-10	BAJA	22.77001949999999
2021-09-13	BAJA	29.97998050000001
2021-09-14	BAJA	24.550048999999944
2021-09-15	SUBE	41.70495600000004
2021-09-16	SUBE	23.205077999999958
2021-09-17	BAJA	22.640014500000007
2021-09-20	BAJA	56.99499500000002
2021-09-21	BAJA	23.655029000000013
2021-09-22	SUBE	23.974975500000028
2021-09-23	SUBE	24.45495600000004
2021-09-24	SUBE	17.930053999999927
2021-09-27	SUBE	37.97998050000001
2021-09-28	BAJA	39.5449215000001
2021-09-29	BAJA	26.714966000000004
